display_name,course_id,last_modified,short_description
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+17W2018,19/02/2021 07:00:16,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w25,19/02/2021 07:00:17,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w49,19/02/2021 07:00:16,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w39,19/02/2021 07:00:15,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+10W2018,23/02/2021 04:34:04,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Data Science Bootcamp with Python for University Professors (Advance),course-v1:CognitiveClass+DX0108EN+v1,24/02/2021 05:55:17,"This short description is not used. The description is taken from Word Press front-end.
Same with the course image below.  We provide one below, but it is not used."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+21W2018,19/02/2021 07:00:16,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:IBMDeveloperSkillsNetwork+ML0122ENv1+2019,19/02/2021 06:44:56,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+14W2018,19/02/2021 07:00:15,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Data Privacy Fundamentals,course-v1:BigDataUniversity+DS0301EN+2016,19/02/2021 06:42:37,"This free Big Data course presents a holistic approach to Big Data, and answers fundamental questions about what Big Data is and why it matters."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w41,19/02/2021 07:00:18,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w29,19/02/2021 07:00:18,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Data & AI Essentials,course-v1:IBM+DAI101EN+2020T3,21/02/2021 11:16:17,"In this short course, you will demonstrate the hands-on experience with the end-to-end Data Science & Artificial Intelligence workflow using IBM Cloud Pak for Data that you received. This includes using the Cloud Pak for Data platform to collect data, organize data, analyze data, and Infuse AI into applications."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+23W2018,19/02/2021 07:00:17,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w27,19/02/2021 07:00:16,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Serverless Computing using Cloud Functions - Developer I,course-v1:IBMDeveloperSkillsNetwork+CC0210EN+2020_T2,19/02/2021 06:44:54,"This course is designed to teach you serverless computing essentials which include how to develop serverless applications composed of loosely-coupled, microservice-like functions. You will get the opportunity to learn more about serverless programming and deployment models as well as its top use cases and design patterns. Additionally, you will be guided through several labs that demonstrate how to implement essential concepts including how to create, deploy, and invoke cloud-based functions, connect them to event sources for automation and expose them as web-accessible endpoints and APIs."
SQL Access for Hadoop,course-v1:BigDataUniversity+BD0145EN+2016,19/02/2021 06:44:55,"Big SQL is another tool to work with your Hadoop data. Big SQL provides a common and familiar syntax for those that are already using SQL with their relational data to work with their big data. There is no learning curve here. Big SQL is about applying SQL to your existing data – there are no proprietary storage formats.

This course will help you understand the Big SQL architecture and show the different methods for working with Big SQL. The course will list and explain the Big SQL data types and show how to create Big SQL schemas and table. The course will also cover the different file formats supported by Big SQL such as parquet and ORC.
In the lab exercises, you will get a chance to learn how to connect to the Big SQL server and load in some sample data. Then you will see how easy it is to use Big SQL to work with the data."
Hybrid Cloud Conference – Pipelines Lab,course-v1:IBMDeveloperSkillsNetwork+HCC105EN+2020T3,19/02/2021 06:44:54,
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w47,19/02/2021 07:00:18,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w45,19/02/2021 07:00:15,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+w43,19/02/2021 07:00:16,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w31,19/02/2021 07:00:16,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w33,19/02/2021 07:00:17,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Machine Learning with R,course-v1:BigDataUniversity+ML0151EN+2017,19/02/2021 06:42:26,"This Machine Learning with R course dives into the basics of machine learning using an approachable, and well-known, programming language. You'll learn about Supervised vs Unsupervised Learning, look into how Statistical Modeling relates to Machine Learning, and do a comparison of each."
DataOps Methodology,course-v1:IBMDeveloperSkillsNetwork+DE0205EN+2020_T1,19/02/2021 06:44:55,
Deep Learning with TensorFlow,course-v1:CognitiveClass+ML0120ENv2+2018,19/02/2021 06:44:56,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
End-to-end Data Science on CloudPak for Data,course-v1:IBMDeveloperSkillsNetwork+DS0201EN+2020T4,19/02/2021 06:45:47,"This short description is not used. The description is taken from Word Press front-end.
Same with the course image below.  We provide one below, but it is not used."
Predictive Modelling Fundamentals I,course-v1:BigDataUniversity+PA0101EN+2017,25/02/2021 12:18:16,"Predictive modeling uses statistics from big data to anticipate outcomes, trends, or future behaviors. Predictive analytics describes the data mining required to make these forecasts. Predictive analytics combines predictive modeling, statistical analysis, text analytics, entity analytics, machine learning, and more, to extract knowledge from vast amounts of data. "
AI for Everyone: Master the Basics,course-v1:sn+BENTEST4+2021_T4,2/3/2021 12:49,"Learn what Artificial Intelligence (AI) is by understanding its applications and key concepts including machine learning, deep learning and neural networks."
Predictive Modeling Fundamentals I,course-v1:BigDataUniversity+PA0101EN+2016,19/02/2021 06:42:37,"The Predictive Modelling Fundamentals I course where students can take this course many times as they wish and is totally free. After the students completed the course, they will be to print their online certificate of achievement. 

Labs are available for download only for Free trial of IBM SPSS Modeler."
Predicting Customer Satisfaction,course-v1:BigDataUniversity+PA0103EN+2016,20/02/2021 11:03:18,"This free Big Data course presents a holistic approach to Big Data, and answers fundamental questions about what Big Data is and why it matters."
Hybrid Cloud Conference – Serverless Lab,course-v1:IBMDeveloperSkillsNetwork+HCC104EN+2020T3,19/02/2021 06:44:54,
Hybrid Cloud Conference – Microservices Lab,course-v1:IBMDeveloperSkillsNetwork+HCC102EN+2020T3,19/02/2021 06:44:54,
Hybrid Cloud Conference – App Security and Threat Modeler Lab,course-v1:IBMDeveloperSkillsNetwork+HCC101EN+2020T3,19/02/2021 06:44:54,
Hybrid Cloud Conference – Service Mesh Lab,course-v1:IBMDeveloperSkillsNetwork+HCC103EN+2020T3,19/02/2021 06:44:54,
Python 101,course-v1:BigDataUniversity+PY0101EN+2016,19/02/2021 07:00:18,"A beginner-friendly course for programming in Python. Practice through the labs exercises, and you'll be ready to create your first Python scripts on your own!"
IBM Cloud Essentials - V3,course-v1:IBMDeveloperSkillsNetwork+CC0103EN+2020T4,1/4/2021 22:37,
Getting Started with the Data: Apache Spark Makers Build,course-v1:BigDataUniversity+TMP0105EN+2016,19/02/2021 18:02:56,"Apache Spark is an open source processing engine built around speed, ease of use, and analytics. If you have large amounts of data that requires low latency processing that a typical Map Reduce program cannot provide, Spark is the alternative. Spark performs at speeds up to 100 times faster than Map Reduce for iterative algorithms or interactive data mining. Spark provides in-memory cluster computing for lightning fast speed and supports Java, Scala, and Python APIs for ease of development.

Spark combines SQL, streaming and complex analytics together seamlessly in the same application to handle a wide range of data processing scenarios. Spark runs on top of Hadoop, Mesos, standalone, or in the cloud. It can access diverse data sources such as HDFS, Cassandra, HBase, or S3."
Predicting Financial Performance of a Company,course-v1:BigDataUniversity+PA0107EN+2016,24/02/2021 05:56:17,"This free Big Data course presents a holistic approach to Big Data, and answers fundamental questions about what Big Data is and why it matters."
DB2 Fundamentals I,course-v1:BigDataUniversity+DB0113EN+2016,20/02/2021 11:52:51,"This course is free.
It is a self-paced course.
It can be taken at any time.
It can be taken as many times as you wish.
It can be taken using either a Windows or Linux system, though the examples provided are using Windows.
Students passing the course (by passing the final exam) will have immediate access to printing their online certificate of achievement. Your name in the certificate will appear exactly as entered in your profile in BigDataUniversity.com
If you did not pass the course, you can take it again at any time.
"
R 101,course-v1:BigDataUniversity+RP0101EN+2016,19/02/2021 06:43:19,"Are you ready to dive head-first into R? In just a few hours you'll learn how to write your own R code, learn about R's data structures and create your own functions. You’ll even be able to import data and do some operations. Try our hands-on exercises as we guide your first steps into your data science journey with R."
Using Clustering Methods for Investment Portfolio Analysis,course-v1:BigDataUniversity+PA0109EN+2016,24/02/2021 05:54:40,"This free Big Data course presents a holistic approach to Big Data, and answers fundamental questions about what Big Data is and why it matters."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w51,19/02/2021 07:00:15,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
PHP web application on a LAMP Stack,course-v1:IBMDeveloperSkillsNetwork+PHPM002EN+v1,19/02/2021 07:00:17,"This tutorial walks you through the creation of an Ubuntu Linux virtual server with Apache web server, MySQL database and PHP scripting. "
Scala 101,course-v1:BigDataUniversity+SC0101EN+2016,19/02/2021 06:40:55,"The Typesafe Scala 101 for Data Science Curricula is designed to give experienced Data Developers and Data Science the know­how to confidently start programming in Scala for data science tasks. The course ensures they will have a solid understanding of the fundamentals of the language, the tooling and the development process as well as a good appreciation of the more advanced features. If students already have Scala programming experience, then this course could be a useful refresher, yet no previous knowledge of Scala is assumed."
Data Science with Scala,course-v1:IBMDeveloperSkillsNetwork+SC0101EN+v1,22/02/2021 14:13:52,"Apache Spark™ is a fast and general engine for large-scale data processing, with built-in modules for streaming, SQL, machine learning and graph processing. This course shows how to use Spark’s machine learning pipelines to fit models and search for optimal hyperparameters using a Spark cluster."
Using R with Databases,course-v1:CognitiveClass+RP0103EN+v2,9/3/2021 16:09,"The intent of this course is to teach you how to unlock the power and magic of R to analyze data in relational databases. It will show you how to connect to relational databases, access and query the database, update and modify the data, analyze it and perform simple visualizations."
Analyzing Big Data in R using Apache Spark,course-v1:BigDataUniversity+RP0105EN+2016,19/02/2021 06:44:55,"Apache Spark is a popular cluster computing framework used for performing large scale data analysis. SparkR provides a distributed data frame API that enables structured data processing with a syntax familiar to R users.
"
Using R with Databases,course-v1:BigDataUniversity+RP0103+2017,19/02/2021 07:00:15,"The intent of this course is to teach you how to unlock the power and magic of R to analyze data in relational databases. It will show you how to connect to relational databases, access and query the database, update and modify the data, analyze it and perform simple visualizations."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w37,19/02/2021 07:00:15,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Using R with Databases,course-v1:BigDataUniversity+RP0103EN+2016,20/02/2021 12:17:55,Using R with Databases teaches you how to access and perform Data Analysis using R when your data is stored in a relational database mangement system (RDBMS). In the course we will focus on using RODBC as our interface and we will use DB2 Express-C and BLU Acceleration for Cloud as our database server environment.
Data Science with Scala,course-v1:Lightbend+SC0105EN+v1,19/02/2021 06:44:56,"Apache Spark™ is a fast and general engine for large-scale data processing, with built-in modules for streaming, SQL, machine learning and graph processing. This course shows how to use Spark’s machine learning pipelines to fit models and search for optimal hyperparameters using a Spark cluster."
Apply end to end security to a cloud application,course-v1:IBMDeveloperSkillsNetwork+SECM03EN+v1,19/02/2021 07:00:16,This mini course walks you through key security services available in the IBM Cloud™ catalog and how to use them together. An application that provides file sharing will put security concepts into practice.
Spark Overview for Scala Analytics,course-v1:BigDataUniversity+SC0103EN+2016,19/02/2021 06:44:58,"The “Spark Overview for Scala Analytics” course will cover the history of Spark and how it came to be, how to build applications with Spark, establish an understanding of RDDs and DataFrames, and other advanced Spark topics. Apache Spark™ is a fast and general engine for large-scale data processing, with built-in modules for streaming, SQL, machine learning and graph processing. Having finished this class, a student would be prepared to leverage the core RDD and DataFrame APIs to perform analytics on datasets.
This course is meant to be an overview of Spark and its associated ecosystem.  For deeper understanding of Spark, we recommend that students take the Spark Fundamentals courses I and II."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+12W2018,19/02/2021 07:00:15,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Statistics 101,course-v1:BigDataUniversity+ST0101EN+2017,19/02/2021 06:42:37,"Take this course and you won't fail statistics. Welcome to the Statistics 101 course, taught by Murtaza Haider, Assistant Professor at Ryerson University. Statistics is one of the most challenging topics to learn, but Murtaza brings a gentle introduction to statistics in practice. Learn about descriptive statistics, variance, probability, correlation, and data visualization. This course ends with a fully-guided statistics exercise exploring the “hot” topic of: do good looking professors get better teaching evaluations? A free trial of SPSS Statistics is included in this course.    "
Stream Computing I,course-v1:BigDataUniversity+ST0101EN+2016,24/02/2021 05:54:29,Stream Computing I teaches you the basics of Stream Computing using IBM InfoSphere Streams. This is the first in a series of two courses.
R 101,course-v1:BigDataUniversity+RP0151EN+2016,20/02/2021 14:16:32,"In this introduction to R, you will master the basics of this beautiful open source language, including factors, lists and data frames. With the knowledge gained in this course, you will be ready to undertake your first very own data analysis. With over 2 million users worldwide R is rapidly becoming the leading programming language in statistics and data science. Every year, the number of R users grows by 40% and an increasing number of organizations are using it in their day-to-day activities. Leverage the power of R by completing this free R online course today!"
Text Analytics 101,course-v1:BigDataUniversity+TA0105+2016,19/02/2021 07:00:15,"This short description is not used. The description is taken from Word Press front-end.
Same with the course image below.  We provide one below, but it is not used."
Henrique's Test (Staff only),course-v1:MyUniversity+TC0101+2017_T1,22/02/2021 22:52:54,
How to Build Watson AI and Swift APIs and Make Money,course-v1:CognitiveClass+SW0201EN+v1,19/02/2021 06:47:22,"Expose your cool Swift microservices to the world and build a platform to monetize those APIs. By using server-side Swift and your mobile apps, you'll also learn to be a better full-stack developer. "
TMP_Data Science Bootcamp,course-v1:BigDataUniversity+TMP0106+2016,19/02/2021 20:25:24,"A Multi-Day Intensive, In-Person Data Science Bootcamp offered by Big Data University"
Text Analytics at scale,course-v1:IBMDeveloperSkillsNetwork+TA0106EN+v2,19/02/2021 22:29:40,"From social media to news articles to machine logs, text data is everywhere. Are you interested in learning how to derive valuable insights from text data? Enroll today and learn about the hot topic of text analytics from experts at IBM."
Statistics 201,course-v1:BigDataUniversity+ST0201EN+2017,21/02/2021 02:52:50,"This short description is not used. The description is taken from Word Press front-end.
Same with the course image below.  We provide one below, but it is not used."
Data Science with Scala,course-v1:BigDataUniversity+SC0105EN+2016,19/02/2021 07:00:16,"Apache Spark™ is a fast and general engine for large-scale data processing, with built-in modules for streaming, SQL, machine learning and graph processing. This course shows how to use Spark’s machine learning pipelines to fit models and search for optimal hyperparameters using a Spark cluster."
Statistics 301,course-v1:BigDataUniversity+ST0301EN+2017,21/02/2021 02:50:49,"This short description is not used. The description is taken from Word Press front-end.
Same with the course image below.  We provide one below, but it is not used."
Build Swift Mobile Apps with Watson AI Services,course-v1:IBMDeveloperSkillsNetwork+SW0101EN+v1,19/02/2021 06:49:37,"Build three AI iOS apps in the cloud by using Watson services so that you can analyze the emotion and sentiment in text, recognize what's in a photo, and convert text to speech."
Text Analysis,course-v1:BigDataUniversity+TMP0101EN+2016,22/02/2021 22:52:42,"This free Big Data course presents a holistic approach to Big Data, and answers fundamental questions about what Big Data is and why it matters."
Text Analytics 101,course-v1:IBMDeveloperSkillsNetwork+TA0105EN+v2,19/02/2021 06:40:18,"From social media to news articles to machine logs, text data is everywhere. Are you interested in learning how to derive valuable insights from text data? Enroll today and learn about the hot topic of text analytics from experts at IBM."
Translating a Cognitive Class course to another language,course-v1:IBMSkillsNetwork+TR0101EN+2019_T2,19/02/2021 19:30:41,"This short description is not used. The description is taken from Word Press front-end.
Same with the course image below.  We provide one below, but it is not used."
Cohort Test Course,course-v1:BigDataUniversity+TST0101+2016,23/02/2021 11:20:55,"This free Big Data course presents a holistic approach to Big Data, and answers fundamental questions about what Big Data is and why it matters."
Solr 101 (TEST for Archiving - restricted use),course-v1:BigDataUniversity+TMP2001EN+2016,20/02/2021 21:14:51,"This free Big Data course presents a holistic approach to Big Data, and answers fundamental questions about what Big Data is and why it matters."
Watson Analytics 101,course-v1:CognitiveClass+WA0101EN+v3,19/02/2021 07:33:46,Welcome to Watson Analytics 101!
Machine learning with Apache SystemML,course-v1:BigDataUniversity+ML0111EN+2016,19/02/2021 07:00:16,"Apache SystemML is a declarative style language designed for large-scale machine learning. It provides automatic generation of optimized runtime plans ranging from single-node, to in-memory, to distributed computations on Apache Hadoop and Apache Spark. SystemML algorithms are expressed in R-like or Python-like syntax that includes linear algebra primitives, statistical functions and ML-specific constructs. "
Watson Analytics 101,course-v1:BigDataUniversity+WA0101EN+2016,19/02/2021 07:00:17,Welcome to Watson Analytics 101!
Watson Analytics 101,course-v1:CognitiveClass+WA0101EN+V2,19/02/2021 07:00:18,Welcome to Watson Analytics 101!
Solr 101,course-v1:BigDataUniversity+BD0137EN+2016,19/02/2021 10:40:50,"Solr (pronounced ""solar"") is an open source enterprise search platform, written in Java, from the Apache Lucene project. Its major features include full-text search, hit highlighting, faceted search, real-time indexing, dynamic clustering, database integration, NoSQL features and rich document (e.g., Word, PDF) handling. Providing distributed search and index replication, Solr is highly scalable and fault tolerant. Solr is the most popular enterprise search engine.

Solr is written in Java and runs as a standalone full-text search server. Solr uses the Lucene Java search library at its core for full-text indexing and search, and has REST-like HTTP/XML and JSON APIs that make it usable from most popular programming languages. Solr's powerful external configuration allows it to be tailored to many types of application without Java coding, and it has a plugin architecture to support more advanced customization.  This course teaches you the basics of how to use Solr."
Solr 101 (TEST course - using same course code),course-v1:BigDataUniversity+TMP2001EN+2016_T2,22/02/2021 14:14:02,
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+13W2018,19/02/2021 15:16:06,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+2018w35,19/02/2021 07:00:17,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Accessing Hadoop Data Using Hive,course-v1:BigDataUniversity+BD0141EN+2016,19/02/2021 06:41:46,Hive is a data warehousing tool built on top of Hadoop. Learn how to easily query and analyze your Big Data projects with this free Apache Hive course.
Beyond the Basics: Istio and IBM Cloud Kubernetes Service,course-v1:CognitiveClass+CO0401EN+v1,19/02/2021 06:44:57,"Start managing your microservices with Istio on IBM Cloud Kubernetes Service. This course shows you how to better  control traffic to services, observe service health, and secure the service mesh."
Accelerating Deep Learning with GPU,course-v1:CognitiveClass+ML0122ENv1+16W2018,19/02/2021 07:00:18,"Majority of data in the world are unlabeled and unstructured data, for instance images, sound, and text data. Shallow neural networks cannot easily capture relevant structure in these kind of data, but deep networks are capable of discovering hidden structures within these data. In this course, you will use TensorFlow library to apply deep learning on different data types to solve real world problems."
Machine Learning - Dimensionality Reduction,course-v1:BigDataUniversity+ML0109EN+2016,19/02/2021 12:58:17,"Welcome to this machine learning course on Dimensionality Reduction. Dimensionality Reduction is a category of unsupervised machine learning techniques used to reduce the number of features in a dataset. Dimension reduction can also be used to group similar variables together.

In this course, you will learn the theory behind dimension reduction, and get some hands-on practice using Principal Components Analysis (PCA) and Exploratory Factor Analysis (EFA) on survey data.

The code used in this course is prepared for you in R.
"
Machine Learning with Python,course-v1:BigDataUniversity+ML0101EN+2016_T2,19/02/2021 22:23:05,"Are the phrases ‘it is certain’, ‘yes you may rely on it’, ‘reply hazy try again’ common in your predictions? Make room on your shelf for your magic eight ball and take this opportunity to see how Machine Learning can be a beneficial tool for predicting future trends. All with a bit more than oil and blue die. All signs point to yes as an indicator you will benefit from this experience."
Text Analytics 101,course-v1:BigDataUniversity+BD0151EN+2016,20/02/2021 04:17:51,"The analysis of emails, blogs, tweets, forums and other forms of unstructured text data constitutes what we call text analytics.  Text analytics is applicable to most industries; for example, if your company is suspicious about company secrets being leaked to competitors by employees, text analytics can help analyze millions of employees’ emails.  If you would like to find common pain points your customers face when using your products, you can analyze their comments and questions in forums. If you would like to measure positive or negative perceptions of a company, brand, or product, you can perform sentiment analysis using text analytics. This course teaches you the basics of text analytics."
Text Analytics at Scale,course-v1:BigDataUniversity+TA0106EN+2016,19/02/2021 07:00:18,"A continuation of Text Analytics-Getting Results with SystemT, this course shows how early Information Extraction systems based on a standard formalism of cascading grammars suffer from fundamental limitations in both expressivity and runtime performance. The class explains in detail how these limitations are addressed via the declarative principles in the SystemT Information Extraction system, resulting in extractors that are scalable, accurate and easy to maintain and enhance for a new domain."
TMP-Data Science Bootcamp with Python,course-v1:BigDataUniversity+TMP107+2017,25/02/2021 13:18:19,"This short description is not used. The description is taken from Word Press front-end.
Same with the course image below.  We provide one below, but it is not used."
Container & Kubernetes Essentials with IBM Cloud,course-v1:CognitiveClass+CO0201EN+v1,19/02/2021 06:44:59,Get hands-on experience with Kubernetes container orchestration. Learn how Kubernetes and IBM Cloud Kubernetes Service help you more easily deploy and scale containers and applications.
Predictive Modeling Fundamentals I,course-v1:BDU+PA0101EN+v1,26/02/2021 21:38:35,"The Predictive Modelling Fundamentals I course where students can take this course many times as they wish and is totally free. After the students completed the course, they will be to print their online certificate of achievement. 

Labs are available for download only for Free trial of IBM SPSS Modeler."
Digital Analytics & Regression,course-v1:FiresideAnalyticsInc+ML0103EN+v1,4/3/2021 21:10,"This course uses a case study approach to take you through the end to end process of identifying a business objective, designing the model to address it, sourcing the data and ultimately arriving at the insights. When you complete this course, you can apply these methods and principles in a variety of contexts, with big, medium or small data."
How to Build Chatbots and Make Money,course-v1:IBMDeveloperSkillsNetwork+CB0103EN+v2,19/02/2021 07:00:17,Learn how to build chatbots without having to write any code by leveraging Watson Assistant. Then deploy your chatbot to a real site in less than five minutes.
Watson Analytics for Social Media,course-v1:BigDataUniversity+WA0103EN+2016,19/02/2021 20:23:40,Watson Analytics for Social Media Fundamentals teaches you the basics of Watson Analytics for Social Media on the cloud.  In this course you will learn how to setup a project to analyze social data within Watson Analytics.  You will learn how smart Topic Suggestions service enables you to refine and improve your project.  You will learn about how about the base line reports with Watson Analytics for Social Media as well as how you can further use the dataset in Watson Analytics Explore and Assemble.  
